【整租】远江公寓 运河大街 运河大街店,【整租】远江公寓,2380-3080,http://bj.58.com/pinpaigongyu/30566901515972x.shtml?psid=108416288196839319321214638
【合租】常营 保利嘉园 3室主卧,保利嘉园,2410,http://bj.58.com/pinpaigongyu/30833921542321x.shtml?psid=108416288196839319321214638
【整租】远江公寓 运河大街 运河大街店,【整租】远江公寓,2590-3090,http://bj.58.com/pinpaigongyu/30866415792811x.shtml?psid=108416288196839319321214638
【合租】潘家园 潘家园东里 3室次卧,潘家园东里,2380,http://bj.58.com/pinpaigongyu/30942987265214x.shtml?psid=108416288196839319321214638
【合租】常营 保利嘉园 3室主卧,保利嘉园,2410,http://bj.58.com/pinpaigongyu/30820276675280x.shtml?psid=108416288196839319321214638
【整租】熊猫公寓 南磨房 北工大店,【整租】熊猫公寓,3500-4200,http://bj.58.com/pinpaigongyu/30866410978503x.shtml?psid=108416288196839319321214638
【整租】回龙观 龙腾苑三区 1室0厅,龙腾苑三区,3200,http://bj.58.com/pinpaigongyu/30730945270337x.shtml?psid=108416288196839319321214638
【整租】远江公寓 运河大街 运河大街店,【整租】远江公寓,2990-3790,http://bj.58.com/pinpaigongyu/30843893268029x.shtml?psid=108416288196839319321214638
【整租】沙河 顺沙路8号院一区 2室1厅,顺沙路8号院一区,3400,http://bj.58.com/pinpaigongyu/30940316726841x.shtml?psid=108416288196839319321214638
【合租】劲松 建工家园 3室次卧,建工家园,2280,http://bj.58.com/pinpaigongyu/30775858904142x.shtml?psid=108416288196839319321214638
【整租】建国门 窝趣公寓WOWQ 1室0厅,窝趣公寓WOWQ,3900,http://bj.58.com/pinpaigongyu/30703689289808x.shtml?psid=108416288196839319321214638
【整租】好客公寓 亦庄 好客公寓,【整租】好客公寓,2800-3000,http://bj.58.com/pinpaigongyu/29514289157965x.shtml?psid=108416288196839319321214638
【合租】八里庄 八里庄南里小区 3室主卧,八里庄南里小区,2090,http://bj.58.com/pinpaigongyu/30568307064364x.shtml?psid=108416288196839319321214638
【合租】北关 新建村(二期) 3室主卧,新建村(二期),2180,http://bj.58.com/pinpaigongyu/30501455393104x.shtml?psid=108416288196839319321214638
【合租】望京 望京西园一区 3室次卧,望京西园一区,2270,http://bj.58.com/pinpaigongyu/30865692202699x.shtml?psid=108416288196839319321214638
【整租】青遇home 垡头 青遇彩虹里社区,垡头,2200,http://bj.58.com/pinpaigongyu/30568413366962x.shtml?psid=108416288196839319321214638
【合租】CBD 慈云寺 3室主卧,慈云寺,2150,http://bj.58.com/pinpaigongyu/30799018460739x.shtml?psid=108416288196839319321214638
【整租】东坝 金隅汇景苑四区 2室2厅,金隅汇景苑四区,3900,http://bj.58.com/pinpaigongyu/30354844294313x.shtml?psid=108416288196839319321214638
【整租】东坝 东泽园 2室1厅,东泽园,3800,http://bj.58.com/pinpaigongyu/29978570429619x.shtml?psid=108416288196839319321214638
【整租】东坝 北京城建福润四季 1室1厅,北京城建福润四季,3000,http://bj.58.com/pinpaigongyu/30443638487358x.shtml?psid=108416288196839319321214638
【整租】远江公寓 运河大街 运河大街店,【整租】远江公寓,2380-3080,http://bj.58.com/pinpaigongyu/30566901515972x.shtml?psid=181955421196839320027267871
【合租】常营 中弘北京像素北区 3室主卧,中弘北京像素北区,2580,http://bj.58.com/pinpaigongyu/30755007040056x.shtml?psid=181955421196839320027267871
【整租】远江公寓 运河大街 运河大街店,【整租】远江公寓,2590-3090,http://bj.58.com/pinpaigongyu/30866415792811x.shtml?psid=181955421196839320027267871
【整租】天竺 天竺花园京北公寓 1室1厅,天竺花园京北公寓,3000,http://bj.58.com/pinpaigongyu/30399425933755x.shtml?psid=181955421196839320027267871
【整租】沙河 顺沙路8号院一区 2室1厅,顺沙路8号院一区,3400,http://bj.58.com/pinpaigongyu/30940316726841x.shtml?psid=181955421196839320027267871
【整租】熊猫公寓 南磨房 北工大店,【整租】熊猫公寓,3500-4200,http://bj.58.com/pinpaigongyu/30866410978503x.shtml?psid=181955421196839320027267871
【整租】新华大街 潞河园 1室1厅,潞河园,2080,http://bj.58.com/pinpaigongyu/30852396850250x.shtml?psid=181955421196839320027267871
【整租】远江公寓 运河大街 运河大街店,【整租】远江公寓,2990-3790,http://bj.58.com/pinpaigongyu/30843893268029x.shtml?psid=181955421196839320027267871
【合租】西红门 兴海家园月苑 3室主卧,兴海家园月苑,2100,http://bj.58.com/pinpaigongyu/30922677636407x.shtml?psid=181955421196839320027267871
【合租】东直门 东直门内北小街8 3室次卧,东直门内北小街8,2870,http://bj.58.com/pinpaigongyu/30933607209012x.shtml?psid=181955421196839320027267871
